Date,CPI
1/2/2017,243.603
1/3/2017,243.801
1/4/2017,244.524
1/5/2017,244.733
1/6/2017,244.955
1/7/2017,244.786
1/8/2017,245.519
1/9/2017,246.819
1/10/2017,246.663
1/11/2017,246.669
1/12/2017,246.524
1/1/2018,247.867
1/2/2018,248.991
1/3/2018,249.554
1/4/2018,250.546
1/5/2018,251.588
1/6/2018,251.989
1/7/2018,252.006
1/8/2018,252.146
1/9/2018,252.439
1/10/2018,252.885
1/11/2018,252.038
1/12/2018,251.233
1/1/2019,251.712
1/2/2019,252.776
1/3/2019,254.202
1/4/2019,255.548
1/5/2019,256.092
1/6/2019,256.143
1/7/2019,256.571
1/8/2019,256.558
1/9/2019,256.759
1/10/2019,257.346
1/11/2019,257.208
1/12/2019,256.974
1/1/2020,257.971
1/2/2020,258.678
1/3/2020,258.115
1/4/2020,256.389
1/5/2020,256.394
1/6/2020,257.797
1/7/2020,259.101
